First Two Words,Rest of Question
what currency,does the czech republic use now?
what age,did william penn get married?
what was,firefox programmed in?
what government,does new zealand have?
where is,isthmus of panama located on the map?
what is,the capital of republic of ireland?
what has,kristen stewart acted in?
what did,dr josef mengele do?
what kind,of language does egypt speak?
who are,the senators of hawaii 2012?
what form,of government does north korea have?
where did,robert kardashian go to college?
what happened,at chernobyl?
what county,is st james city fl in?
what did,the akkadian empire include?
after how,many years are the olympic games held?
what system,of government does guyana have?
when was,the last time the ny knicks won a playoff game?
what team,did aguero play for?
who is,the president of the european union 2012?
when is,st joseph birthday?
what year,was kenya moore crowned miss usa?
what sort,of government does nigeria have?
where does,chef ina garten live?
when the,atlanta braves won the world series?
what is,lamar odom doing now july 2012?
what kind,of language do they speak in iran?
what was,the first language spoken in spain?
what did,scott joplin play?
what school,did miley cyrus?
which hemingway,book to read?
what language,do most people speak in afghanistan?
who is,the prime minister of jamaica west indies?
what role,did paul mccartney play in the beatles?
when did,juventus win the champions league?
when does,school start for the university of oregon?
who is,robin roberts father?
what is,the capital of australia victoria state?
where is,french spoken most?
what team,is reggie bush on 2011?
what highschool,did emily osment go to?
what currency,should i take to mexico?
who is,thor heyerdahl?
what area,of science did leonardo da vinci study?
where did,troy aikman play football?
who played,cletus hogg?
who won,fa cup 1976?
what did,general robert e lee die from?
what style,of art did henri matisse do?
who plays,chuck bass in gossip girl?
what countries,have territories in oceania?
what county,is st. louis park in?
what is,the political system of south africa?
when does,parliament sit in canberra?
what language,group does germany belong to?
what timezone,is tucson arizona in right now?
when was,lucy lawless born?
which political,party does barack obama represent?
where is,the empire of ghana?
what kind,of leukemia did jill clayburgh have?
what is,the name of the book hitler wrote in jail?
what is,there to see in sydney australia?
where was,marilyn monroe found dead?
what states,does the sierra nevada run through?
what language,is spoken in greek?
what team,did monta ellis get traded to?
what is,the name of the speaker of the house of representatives now 2011?
who plays,stanley hudson?
what record,label is kelly clarkson signed with?
where does,tim roth come from?
what kind,of equipment did isaac newton use?
what currency,should you take to vietnam?
who did,roger federer married?
what kind,of money do i need in costa rica?
what caused,the embargo against cuba?
what is,the name of the capital of belgium?
what kind,of government does japan have now?
what pieces,of music did claude debussy compose?
who was,selena gomez in barney and friends?
who plays,caesar flickerman in the hunger games?
where did,the gettysburg address?
what was,the name of jfk's brothers?
who was,tupac signed to?
what was,augustus caesar famous for?
what kind,of tennis racquet does serena williams use?
what language,does colombia?
what is,the zip code for schenectady new york?
who was,president in 1988 in the united states?
where can,you find wind turbines in canada?
who owns,google 2012?
what drink,did john pemberton create?
what position,did stanley matthews play?
what type,of government does brazil have 2011?
what was,bonnie prince charlie full name?
who makes,the voice of stewie griffin?
who is,angelina jolie mom and dad?
who is,the governor of indiana 2009?
who brad,pitt has dated?
what party,does barack obama belong to?
what is,san francisco zip code?
who has,stephen ireland played for?
what do,people in france like to do for fun?
where did,john mayer go to college?
what celebrities,has brody jenner dated?
what is,malaysian currency?
who are,china's neighbors?
who owns,volkswagen car company?
which is,the main train station in rome?
what did,steve mcnair died from?
who is,the newly elected governor of california?
who plays,roxanne in ghost rider?
where is,the sony ericsson company?
what kind,of currency does the dominican republic have?
what to,do this weekend in manchester with kids?
what sport,is popular in italy?
where is,the main headquarters of google?
what was,jesse owens education?
where does,carlos santana live?
what is,the new movie john carter about?
what was,goebbels role?
what countries,does nafta include?
what county,is houston tx in?
where do,the seattle seahawks play?
who does,michael keaton play in cars?
what are,the mountains in northern spain?
where is,the riviera casino?
what is,the holy book of the buddhist religion?
who became,president when henry harrison died?
where did,richard arkwright grow up?
what other,books did louis sachar write?
when did,roth ira originate?
what is,the best zelda game to start with?
who does,the voice for darth vader?
what is,the dominant religion in the us?
what did,thomas malthus do?
what is,the zip code for newark california?
what states,share a border with tennessee?
what to,see and do in vancouver washington?
what war,did the us lose the most soldiers?
what kind,of government is egypt?
what musical,instruments does justin bieber play?
who is,james madison and what did he do?
what did,obama do before he was elected president?
where do,john lennon die?
who plays,edward on deception?
what was,herbert hoover best known for?
what games,will be on nfl network this year?
what is,the current time in bangalore india?
what language,do people from greece speak?
where is,the phillies spring training stadium?
what movies,does matt dallas play in?
who was,john f kennedy's family?
where is,harley davidson corporate headquarters?
when was,john paul ii?
where is,belgium germany?
where did,starbucks get their logo?
where was,the ottoman empire based?
where was,bin laden found and killed?
what are,the names of harry potter movies in order?
what did,pamela courson die from?
what did,dr jack kevorkian do?
what does,bolivia border?
who plays,stacey in the stacy's mom video?
who does,nolan ryan play for?
what is,the currency of sweden in 2010?
what country,does justin bieber come from?
what is,the head judge of the supreme court called?
who was,frida kahlo influenced by?
where is,taylor swift from?
what type,of religion does argentina have?
when is,the last time the giants won the world series?
what is,the main language used in china?
where did,the battle of waterloo occur?
what spain,brought to the new world?
who did,vladimir lenin marry?
what year,did the baltimore ravens win superbowl?
what team,does cristiano ronaldo play for 2011?
what are,physical features of egypt?
what book,is mark twain famous for?
what is,money called in italy?
what is,the government of france for 2010?
where did,theodor schwann study?
how old,is bruno mars and where is he from?
who are,the virginia senators 2013?
what was,dr seuss's real name?
what countries,are members of the security council?
where are,the nordic countries?
what country,sponsored ferdinand magellan?
what did,vera ellen die from?
what is,the capital of modern day egypt?
what province,is toronto in ( 7 letters )?
where do,most illegal immigrants in the us come from?
who will,plaxico burress play for in 2011?
what is,the currency of brazil now?
what types,of art did andy warhol do?
what other,states border florida?
who does,mike marry at the end of season 5 desperate housewives?
what are,the predominant religions in russia?
what countries,were part of the spanish empire?
who will,coach carolina panthers in 2013?
where did,louis sachar grow up?
who plays,marshall eriksen?
what activities,are there to do in greece?
what to,do for fun in houston?
where did,otto frank go to college?
what else,has jennifer lawrence played in?
who is,the governor of pennsylvania state now?
where is,ancient phoenician?
where does,the celtics practice?
what did,george washington do as a teenager?
where bin,laden got killed?
where does,toronto get its water from?
what language,do people from bosnia speak?
where did,hugo chavez go to school?
who does,japan import from?
what is,the name of sonia gandhi daughter?
who do,islamic people pray to?
where was,mary todd lincoln from?
where did,charles darwin die?
what movies,does nick cannon play in?
when did,the big earthquake hit san francisco?
who was,king george vi married to?
where was,jesus after he died on the cross?
who is,sir james dyson?
who voiced,darth vader in the original star wars movies?
what high,school did maya angelou go to?
what 5,countries border switzerland?
what country,did benito mussolini govern?
where did,mubarak get his wealth?
who was,the leader of the first communist party of china?
what did,miles davis died of?
what is,the zip code for azle texas?
what date,did sally pearson won gold?
when did,the detroit pistons last win the championship?
when did,the philadelphia flyers win the cup?
who is,number 22 for the dallas cowboys?
what county,is st paul nc in?
where is,olympic national park wa?
where did,nat turner 1831 rebellion occur?
who would,play luke skywalker?
who won,the presidential election in egypt 2012?
where turkish,people originate?
what state,is barack obama from?
what years,did joe montana win super bowl?
who should,the minnesota vikings draft?
what percent,of americans have college degree?
what awards,gary paulsen won?
what caused,the cuban rebellion in 1868?
where did,alexander graham bell die?
what year,did the golden state warriors win their first nba championship?
what currency,should i take to turkey?
what type,of government did mexico have?
what countries,are in the uk yahoo?
what superbowl,did the baltimore ravens win?
what is,the language of russia s spoken?
who played,lauren reed on alias?
who is,the king of cambodia now?
who are,serena williams parents?
what schools,did sir isaac newton go to?
what was,the cause of death for huell howser?
what books,are written by suzanne collins?
what countries,does england border?
what team,did messi play for in 2010?
what time,zone is greensburg indiana?
what fma,stands for?
who plays,voldemort?
what colleges,did harper lee attend?
who founded,the kkk?
what is,the university of georgia known for?
what jobs,did john adams have before he was president?
what year,did super mario bros 2 come out?
what political,party did andrew johnson belong to?
where did,joseph's family live?
where was,osama bin laden killed?
where were,greek temples built?
where are,people who speak arabic from?
who was,queen elizabeth ii mom?
what type,of art did pablo picasso paint?
who did,ricky martin started his career with?
what is,ella fitzgerald parents name?
who is,anne hathaway parents?
who does,don draper gets engaged to?
what was,van halen first album?
what political,system did spain have?
what led,to the split of the republican party in 1912?
what to,see in toronto top 10?
what are,the supreme court cases?
what is,penn state's main campus?
when is,the rainy season in bangkok thailand?
where did,the israel palestine conflict start?
what country,does alaska belong to?
where is,kansas city?
what was,pink floyd's first album?
who did,granville t. woods married?
what type,of government did thomas jefferson prefer?
what language,did the sioux indians speak?
what are,some famous people from el salvador?
who did,brett gardner play for in 2008?
who plays,dwight in the office?
who plays,riley on buffy the vampire slayer?
what county,is san diego ca?
who is,the miami dolphins quarterback?
where did,the yoruba originated from?
where did,anne frank go to school?
what basketball,player is married to monica?
what did,hitler use to kill himself?
what do,people speak in germany?
when is,the last time the denver broncos won the superbowl?
where was,caesar when he was stabbed?
what style,of music did bessie smith perform?
what team,did jackie robinson?
what time,zone is chicago in right now?
what two,countries make up the dominican republic?
who was,the vice president under ronald reagan?
where do,the chicago white sox play home games?
what part,did jeff conaway play in grease?
what book,did benjamin franklin published?
what currency,to take to barbados?
where did,they get the name stanley cup?
what is,the space needle in toronto?
what is,the zip code of syracuse ny?
where did,tennessee williams go to college?
what is,the name of airport in new york?
who was,queen victoria's husband?
where did,benjamin franklin work?
what does,barbara bush do for work?
who is,jacob latimore?
what happened,to dunkirk during ww2?
what was,scottie pippen good at?
who played,donna on west wing?
what are,serena williams achievements?
who played,meg in season 1 of family guy?
when was,the last time the dallas cowboys won the superbowl?
what did,napoleon bonaparte do as emperor?
where do,ireland play rugby union?
who killed,lee harvey oswald shot?
when was,the last time knicks won the championship?
when did,celtics win the championship?
what countries,included in oceania?
what country,is nicki minaj from?
who played,harry potter dumbledore actor?
who was,the prime minister of pakistan in 1999?
what movies,did christopher plummer play in?
what is,capital city of morocco?
what movies,is omar epps in?
what district,does nancy pelosi represent?
where is,walton indiana?
where did,george herbert walker bush go to college?
what did,bruce jenner win gold medal for?
where do,they speak tibetan?
what to,do in hollywood ca this weekend?
who ran,against abraham lincoln for president in 1860?
where did,kim kardashian come from?
what town,did justin bieber grew up in?
what is,michael kors best known for?
who plays,charlie in the santa clause movies?
where does,the expression excuse my french come from?
what was,napoleon bonaparte accomplishments?
what highschool,did r. kelly attend?
what happened,at benghazi?
what country,is nike based in?
what is,the percentage of youth in uganda?
what kind,of money do i bring to mexico?
who did,steve spurrier play pro football for?
what is,the only colony on the south america continent?
where do,the blackhawks play?
who plays,john connor?
what is,the main language spoken in mexico?
what are,italians classified as?
what has,angelina jolie accomplished?
who played,captain kirk in star trek movie?
who played,dana scully in x files?
who was,the first governor of colonial south carolina?
what was,f. scott fitzgerald?
what is,the dominant language spoken in jamaica?
who is,the coach for the new york knicks?
who was,wesley snipes?
where does,sherrod brown live?
what kind,of language does colombia speak?
what currency,does england use now?
who was,the original voice of meg griffin on family guy?
what kind,of government is mali?
who did,cristiano ronaldo play for in 2010?
what is,the zip code for morgantown wv?
what is,jacksonville fl timezone?
who does,amy stiller play in dodgeball?
who were,king henry vii children?
who plays,mary jane in the spiderman movies?
who does,mila kunis play on family guy?
when did,the san francisco earthquake occur?
who played,damien in the omen 2006?
what athlete,am i olympics?
who played,denver in four christmases?
what to,do with kids in essex?
who did,the cleveland cavaliers draft?
what concentration,camp did anne frank died in?
when did,gordon brown resigns?
what language,does east timor speak?
what is,the currency in italy?
where does,greek language come from?
what is,the name of the currency used in italy?
where is,audrey hepburn from?
where did,the australian floods take place?
who does,darth vaders voice?
when is,nrl grand final day?
what school,did douglas macarthur go to?
what famous,people are from barbados?
what is,the name of the currency used in china?
what are,the names of michael jackson's 3 children?
what currency,to take to turkey 2010?
who is,the current governor of arizona 2010?
when was,the most recent earthquake in haiti?
who is,lamar odom playing for this year?
where were,the great pyramids of giza built?
who designed,national flag of italy?
what language,do the russian speak?
what language,do australia people speak?
what country,was king tut's tomb found?
where did,abraham and his descendants live?
where did,george washington carver go to collage?
what are,the sports in spain?
where president,obama was born?
what sports,do people play in poland?
who was,demi lovato dating?
where did,tony gonzalez play college basketball?
what films,has scarlett johansson been in?
who originally,voiced meg on family guy?
who played,amy squirrel in bad teacher?
where are,boeing headquarters?
what type,of religions are in the united states?
who did,viggo mortensen play in lord of the rings?
what lands,did henry hudson discover?
who was,isaac newton and what did he do?
who did,william shakespeare marry?
what movies,queen latifah is in?
where did,michelle obama graduated from?
what kind,of music did franz liszt compose?
what country,does david luiz play for?
what document,did thomas jefferson wrote?
who is,martin luther king jr facts?
where is,victoria british columbia?
how many,mary mary sisters?
what do,we call the currency of france?
where do,scottish people originate from?
what team,does david beckham play for in 2012?
what movies,did nick cannon star in?
what radio,station is npr on in nyc?
who did,tom landry play for?
where was,john jay born?
where is,mount fuji located?
when is,venus brightest?
where was,toussaint l'ouverture born?
what countries,makes up the uk?
what is,lawton ok zip code?
what is,the capital city of spain wiki answers?
where do,they speak german?
when did,mark mcgwire retired?
what is,colorado technical university?
what was,the currency used in france before the euro?
what is,kentucky state slogan?
what type,of government does russia have 2010?
what did,elvis presley died from?
who played,samantha stephens in bewitched?
what area,of science did sir isaac newton study?
what county,is san diego in?
which country,in north america is divided into provinces?
where is,the scottish house in skyfall?
when does,daylight saving end in new zealand 2012?
what is,real name of santa claus?
when did,kelly slater go pro?
what did,coretta scott king died from?
what does,wh smith stand for?
what type,of drugs did whitney houston?
who was,vp for nixon?
what religion,did adolf hitler follow?
where is,the illinois river on a map?
where honduras,in the world?
who do,pagans worship?
where do,i vote milwaukee wisconsin?
who owns,mazda canada?
who does,ronaldinho play for now 2011?
what galileo,galilei was famous for?
what are,the major trading partners of germany?
where did,romney graduated college?
who did,johnny depp play in corpse bride?
what is,the zip code for jonesboro ar?
what college,did se hinton go?
when was,taylor swift fearless tour?
who was,juan ponce de leon family?
where did,charles darwin and his wife live?
who is,the voice of kitt?
what is,eminem's real full name?
who is,amy grant's first husband?
what are,the seven nations of central america?
what is,jamie spears baby name?
what region,did the incas live in?
who did,australia fight in the first world war?
what countries,does canada have trade agreements with?
who is,the mother of prince michael jackson?
what is,the clemson mascot name?
which of,the following was a contribution thomas hunt morgan made to genetics?
what rainforest,is in south america?
what type,of art does claude monet do?
what country,did hitler invaded to start ww2?
when did,we start war with iraq?
who did,taft defeated in 1908?
what guitar,did kurt cobain?
who did,jennifer lawrence play in x men?
who is,the governor of virginia 2011?
who did,darth vaders voice?
what type,of equipment did dorothea lange use?
where is,walton county ga?
what cancer,did jackie kennedy die of?
what does,lauren conrad major in?
what time,zone is pennsylvania in right now?
where did,mario lopez go to school?
where is,tupac from originally?
what role,did george lucas play in star wars?
what sarah,dessen books are movies?
what is,the current time in kauai hawaii?
what did,dmitri mendeleev discover in 1869?
where was,farrah fawcett buried?
what are,the colonies of great britain?
what inspired,steinbeck?
what kind,of government does cuba have today?
where are,english speakers distributed?
what was,george washington's legacy?
what is,the capital of italy today?
who was,dan white?
what language,do people speak in the bahamas?
where did,george michael go to school?
what team,did jeremy lin go to?
what club,does cristiano ronaldo play for in 2010?
what time,zone is in the bahamas?
where did,african american slaves come from?
what language,do people speak in brazil?
who influenced,samuel taylor coleridge?
what does,kim kardashian work as?
where did,the mississippi river end?
who played,carlton lassiter on psych?
what was,john deere famous for?
who is,president of israel?
where did,the anasazi indians live?
who plays,harley quinn?
what was,francis bacon contributions?
what percent,of people are overweight in the uk?
who is,ruling libya?
when does,ziva start on ncis?
what is,the name of the national anthem of canada ( 2 words )?
where are,you from in malayalam?
what did,mark zuckerberg study?
which country,was michael jackson born?
what countries,require travel visas for us citizens?
who was,stephen r covey?
what country,was stalin in charge of?
what is,monta ellis career high points?
what do,the symbols on the nevada flag mean?
what nationality,is rihanna?
what has,shannen doherty played in?
what college,did joakim noah?
when was,the last time the red sox won 100 games?
who plays,billy elliot?
what team,will michael vick play for in 2011?
what kourtney,kardashian boyfriends name?
what form,of government does australia use?
what team,did howie long?
where did,the greek alphabet come from?
what timezone,is elizabethtown kentucky?
what to,see in christchurch new zealand?
where is,chris paul from?
what year,was albert pujols rookie year?
what are,the colors of the ny giants?
what business,did andrew carnegie dominate?
what was,sir isaac newton's inventions?
where to,visit in paris with children?
who did,shaq first play for?
who was,the artist of mickey mouse?
what is,the zip code for concord?
what football,team is michael vick on?
where does,the columbia river start?
what are,all the names of the harry potter books?
what banjo,does scott avett play?
who was,sir walter raleigh and what did he do?
what countries,are in the euro dollar?
what currency,can you use in barbados?
who is,angelina jolie?
where is,nineveh city?
what is,the state flower of new mexico?
where is,the national ffa foundation located today?
which countries,speak germanic languages?
who plays,eowyn in lord of the rings?
what to,do in cancun during spring break?
where is,augusta masters 2012?
what type,of cancer did eva peron die from?
who did,terrell owens play for in 2010?
where is,denmark south carolina?
when will,the world end mayans?
what books,did ernest hemingway write?
what year,did baltimore ravens win super bowl?
where did,the battle of passchendaele happen?
what part,of the country is ohio considered?
what team,is cristiano ronaldo play for?
what standard,time is michigan?
what was,john tyler?
what did,romo do?
what currency,can you use in jamaica?
where did,jay moriarty die?
where was,the boston tea party 1773?
what drugs,lindsay lohan abuse?
when did,carolina panthers go to superbowl?
when did,the burma cyclone happen?
what is,michael kors real name?
who won,the governor election in texas?
what does,helen flanagan do?
when are,the summer and winter olympics held?
where is,tennessee river?
what are,some major events in venezuela?
what guitar,does corey taylor play?
who was,president after franklin d. roosevelt?
where did,kate gosselin grew up?
under what,political system does the united states government operate?
which countries,in africa were slaves taken from?
what to,do in paris in 1 day?
what city,is mt lassen in?
where did,jennifer arnold go to medical school?
what is,the state motto of ohio?
what country,do maltese come from?
what type,of music did mozart composed?
what stones,albums did mick taylor play on?
how many,kids were there in the kennedy family?
which barcelona,airport is closest to the port?
where has,the english language evolved from?
what country,did hitler invade that started ww2?
what does,matt damon play in?
what was,scottie pippen known for?
what continent,does canada belong to?
what does,george wilson do for a living?
where did,kobe earthquake happen?
what city,does fulham play in?
what are,fun things to do in sacramento ca?
where is,the euphrates and tigris river located on a map?
what other,movies is josh hutcherson in?
what was,hitler the leader of?
what awards,did marilyn monroe won?
what kind,of government does iran have after 1979?
where did,harper lee attend high school?
what college,did jrr tolkien go to?
what art,did wassily kandinsky do?
who won,the league cup in 2002?
what was,antoni gaudi inspired by?
in what,country do people speak danish?
who were,demeter's siblings?
where should,a family stay in paris?
what led,to stalin rise in power?
what was,the name of benjamin franklin wife?
what the,largest city in spain?
what type,of government was utilized in ancient egypt?
who has,pudge rodriguez played for?
what is,the milwaukee brewers stadium called?
where did,the gallipoli war take place?
what other,movies has tom hardy played in?
what to,visit in atlanta?
what college,did john nash go to?
what language,do maltese speak?
what did,thomas edison do for the world?
where is,shakira from?
what did,hayes do?
who played,bilbo in the fellowship of the ring?
what is,the most populated state in united states?
who is,my state senator arizona?
when does,the vietnam war end?
where does,the tennessee river go?
who did,tom hanks play in apollo 13?
what language,do they in ghana?
what is,utah's state capitol?
what all,did ben franklin invent?
what city,in florida has the lowest crime rate?
what team,does jeremy lin play for 2013?
what is,steve nash nationality?
who are,the u s senators of pennsylvania?
what kind,of language does france speak?
what degree,did martin luther king earn?
what two,states is st louis in?
when were,south australian women given the right to vote?
what does,sarabi?
who were,wright brothers?
what team,did peyton manning's dad play for?
what school,did john henry thompson go to?
what did,jesse owens won?
what is,the name of the currency used in peru?
who is,on the board of facebook?
what are,the four nations of the united kingdom?
who is,judy garland father?
what school,did robert f kennedy go to?
what drug,killed marilyn monroe?
where is,the fukushima daiichi nuclear power station?
what is,los angeles california time zone?
what did,nicolas cage name his son?
what is,berkshire hathaway invested in?
what currency,should take to mexico?
who is,the state governor of florida?
who was,jessica simpson married too?
what do,they speak in scotland?
what did,john dalton study?
what songs,do zac brown band sing?
where is,glastonbury england?
who formed,the american federation of labor?
what to,visit in denver?
where did,thomas hobbes live?
what do,unitarian universalist believe?
what did,john hancock do for the american revolution?
where was,john f kennedy when he got shot?
what type,of government does italy have 2011?
which state,did anne hutchinson found?
what province,is montreal canada located?
where does,bronx begin?
who does,kellan lutz play in prom night?
what did,franz liszt do to earn a living?
what was,nikola tesla known for?
what is,the zip code for princeton nj?
what other,countries border argentina?
what language,does people in iceland speak?
what is,the predominant religion in israel?
who has,coached the carolina panthers?
what are,the eight stages of erikson's theory?
what time,zone is toronto gmt?
what country,did toussaint l'ouverture help free?
what jobs,did robert burns have?
who won,utah attorney general?
who is,the leader of libya 2011?
what the,language spoken in indonesia?
what is,warren g harding most known for?
who coaches,the carolina panthers?
what other,countries does south africa share borders with?
who played,darth vader at the end of return of the jedi?
when was,herbert hoover born and died?
what movies,did joan crawford play in?
what products,does the united states export?
what did,neil armstrong say when he landed on the moon?
what did,james polk do before he was president?
what is,the kentucky state bird?
who was,canadian prime minister in 1993?
which country,invented nike?
what there,to do in salt lake city utah?
what is,the state of montana known for?
who will,be the red sox next coach?
who is,the current ohio state senator?
what are,the major languages spoken in the united kingdom?
what did,st. nicholas do in his life?
what percentage,of cases does the us supreme court take?
when was,christopher columbus first expedition?
what to,do in rome october 2012?
what happened,to pope john paul ii?
who was,ulysses s. grant?
what was,franklin pierce famous for?
when was,the last time the boston bruins went to the stanley cup?
who is,meredith gray married to in real life?
what inspired,michelangelo buonarroti?
what does,monsanto own?
who did,woody harrelson play on cheers?
what language,do they speak in sweden yahoo?
what language,did they speak in ghana?
what form,of government do we have in the philippines?
what colleges,did mitt romney attend?
where is,ibrahim afellay from?
who was,the secretary of state when andrew jackson was president?
who does,ron stoppable's voice?
what currency,is accepted in new zealand?
what do,they think happened to natalee holloway?
when did,pakistan get its independence?
what places,are in the west midlands?
what to,do with kids in asheville nc?
who is,in the american league in baseball?
who did,kurt warner play 4?
who is,dirk nowitzki wife?
who financed,sir francis drake?
what did,the ancient mayans predict?
where is,spanish spoken most?
who does,myles kennedy sing for?
where all,did picasso live?
what currency,shall i take to croatia?
what team,is raul ibanez on?
what are,the beliefs of the roman catholic?
what tv,series did mark harmon star in?
what year,did jimmy the rev sullivan die?
who plays,anakin skywalker in star wars 1?
where does,michelle pfeiffer live now?
what was,laura ingalls wilder famous for?
what is,tatu baby's real name?
which country,did nike originate from?
where is,dwight howard now?
who is,nick lachey married to?
where did,madonna grew up?
what capital,city of brazil?
what college,did john stockton go to?
what kind,of currency does mexico use?
who owns,chrysler corporation 2011?
what are,some books that mark twain wrote?
what was,gregor mendel contribution?
who has,ray allen dated?
who is,running for vice president with barack obama 2012?
what language,do people from the uk speak?
what to,do with my kids in toronto?
what kind,of government is south korea?
what channel,saints game?
who did,ben franklin marry?
what sri,lanka capital?
where was,the assyrian homeland?
what kind,of government does poland have?
what famous,people came from delaware?
when did,romney become governor?
what currency,does cyprus use?
who was,with president lincoln when he was assassinated?
what type,of guitar does johnny depp play?
where to,stay in singapore blog?
what episode,of how i met your mother is carrie underwood on?
who are,the 9 justices of the supreme court 2011?
who is,dustin johnson the golfer?
who did,cher have a son with?
what city,is the university of oregon state in?
who played,carmen cortez in spy kids?
what is,the political system in germany?
what prompted,shakespeare to write poetry?
what is,the currency in turkey called?
what school,did mark zuckerberg attend?
where does,kate middleton live 2012?
what type,of art does marc chagall do?
what character,did billy d williams play in star wars?
what language,is spoken in argentina?
who won,the american league east in 2012?
what did,isaac newton explain?
what school,did wilfred owen go to?
who is,kevin jonas married to?
where does,airtran airways fly?
where does,the city of paris get its name?
what to,see in montreal downtown?
what was,lil wayne's first hit song?
who did,sandra bullock marry?
where is,olympic national park located?
where is,the un based?
what city,and state is yale located in?
where did,thomas paine die?
where was,barack hussein obama sr born?
what do,they do in cuba for fun?
where is,the home stadium of the new england patriots?
who was,kate chopin?
when did,bill clinton go to college?
who helped,eminem started his career?
what are,staffordshire terriers?
what to,do with kids in summer in dubai?
what victory,was andrew jackson most famous for?
what to,do downtown sacramento?
what makes,the film so popular back in london?
who is,michael j fox parents?
where did,sanjay gupta go to school?
what team,did brandon roy go to?
what countries,are involved in the nafta?
what continent,is cayman islands located?
what language,speak in brazil?
what disease,did anne frank die of?
who does,kroy biermann play football for?
when is,the last time the pittsburgh steelers won a superbowl?
who invented,islamic religion?
who were,we fighting in the gulf war?
how many,languages do they speak in switzerland?
what political,party does barack obama represent?
what movies,does logan lerman play in?
where did,emperor constantine die?
who plays,ponyboy in that was then this is now?
where is,mali located?
where to,go in ibiza for families?
what planet,did luke skywalker came from?
who are,the coaches for the oakland raiders?
where was,the first microsoft headquarters located?
where did,john steinbeck go to college?
what did,niels bohr discover about the atomic structure?
what books,did louis sachar wrote?
who is,ryan reynolds married to 2012?
what is,newt gingrich's wife's name?
what type,of music did antonio vivaldi play?
what school,does james franco go to?
what is,samuel langhorne clemens well known for?
who was,president after william henry harrison?
who is,jake gyllenhaal married to?
where did,rick santorum attend high school?
what is,the title of george bush's new book?
where did,antoine lavoisier die?
what season,did lana lang leave smallville?
what is,the name of king george vi wife?
what year,did seattle seahawks go to the super bowl?
who did,richard nixon run against?
where does,sami yusuf live?
what is,the official language of brazil now?
what is,the parliament of nepal called?
when's the,last time the mets won the world series?
where do,florida panthers play?
who is,john cena married to?
what to,do san jose ca?
who founded,new york university?
who created,arthur?
what countries,constitute the eu?
what are,all the countries in north africa?
what did,bobby darin die of?
where does,houston dynamo play?
what kind,of guitar john mayer?
what cancer,did patrick swayze?
what university,did obama graduated from?
what jamaican,money called?
where is,the arizona cardinals stadium located?
what is,sir isaac newton theory?
what should,i do today in san francisco?
who influenced,picasso art?
what is,my timezone in pennsylvania?
what products,and\/or services does google offer customers?
when does,the wsop main event start?
who did,cliff lee play for last year?
who played,elaine the pain?
who killed,martin luther king jr video?
what type,of democracy is the united states?
when was,the last time the toronto maple leafs made the playoffs?
what time,in china hong kong?
what all,movies has taylor lautner been in?
what disease,did bernie mac die of?
who plays,spike spiegel?
who was,queen isabella's mother?
who does,chris hemsworth have a baby with?
who was,france allied with in ww2?
where is,the mts iceplex in winnipeg?
what are,the most popular religions in israel?
what was,obama's former occupation?
what are,all the songs justin bieber wrote?
where is,the thames river source?
where did,buster posey go to high school?
what new,movies is robert pattinson in?
what language,do they use in pakistan?
what kind,of products does nike sell?
who did,lbj marry?
where did,kim jong il die?
what honor,did agatha christie receive in 1971?
who ran,against bill clinton in the presidential election?
where are,kohler sinks manufactured?
what is,the sacred text of daoism?
what countries,speak english natively?
what did,thomas hobbes do?
what counties,in florida have the lowest property taxes?
who won,fedex cup 2012?
what language,is mainly spoken in egypt?
who played,alf on tv show?
who was,gerald ford vp?
what is,armenian currency?
what type,of art did raphael sanzio create?
what language,do they speak in malta?
what religion,was king louis xiv?
what football,team does mike wright play for?
what did,shannon hoon die from?
what did,nicholas copernicus discover?
what teams,has manny ramirez played for?
where do,the appalachian mountains run?
when was,president wilson in office?
what political,party is jerry brown?
what ocean,is around hawaii?
what is,the most common language spoken in argentina?
what language,tunisia?
what are,some inventions that leonardo da vinci invented?
who wrote,st trinians?
what are,malaysian coins called?
what type,government does mexico have?
what currency,does dominican republic take?
what inspired,michael jackson to become a singer?
who is,the texas state senator?
what to,visit in london city?
what genre,of art is the mona lisa?
who does,peter griffin voice?
when did,tony romo got drafted?
what does,anne frank died of?
what are,the catholic holy days?
what language,is most commonly spoken in belgium?
where did,frank baum die?
where is,tunis on a map?
who is,nicolas cage married too?
who are,the members of the supreme court 2009?
who does,the voice for chucky in child's play?
what did,mary wollstonecraft fight for?
what is,new france?
what year,did the phillies begin?
what country,is dyson made?
what language,does iceland speak?
what was,dr seuss real name?
what did,gloria steinem founded?
where to,eat crawfish in beaumont?
what language,they speak in scotland?
what boarding,school did mark zuckerberg go to?
what are,bigos?
where are,ike and tina turner's children?
what are,some of leonardo da vinci most famous inventions?
when did,shaq come into the nba?
where do,they speak turkish?
what is,the zip code for walnut creek?
who will,the cavaliers draft 2012?
who was,the voice of darth vader in the original star wars movie?
where is,english spoken around the world?
what music,did louis armstrong play?
what form,of currency does germany use?
where is,the latin language from?
what are,the top tourist attractions in rome?
who were,the children of king solomon?
what did,andy irons die from?
where is,auburn university located?
who is,tatyana ali parents?
where did,leif ericson grow up?
what language,do the maasai speak?
what political,party was hitler in?
who is,the leader of north korea today?
